epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,37416.8,0.87725,1.04514,0.98076,0.62019,0.71136,0.71193,0.54794,0.83874,0.94399,1.02631,0.005974,0.005974,0.005974
124,37780.6,0.88076,1.0051,0.97579,0.62568,0.7214,0.71802,0.55335,0.84303,0.93994,1.02787,0.005941,0.005941,0.005941
125,38139.2,0.87644,1.00105,0.97604,0.63258,0.7049,0.71552,0.55148,0.84345,0.94382,1.02949,0.005908,0.005908,0.005908
126,38497.1,0.88212,1.006,0.98229,0.62956,0.71425,0.71585,0.55195,0.84658,0.93633,1.02945,0.005875,0.005875,0.005875
127,38859.6,0.87757,0.98948,0.98236,0.63679,0.69774,0.7195,0.55369,0.84804,0.94626,1.03218,0.005842,0.005842,0.005842
128,39221.6,0.87277,1.01924,0.98088,0.63598,0.71507,0.72351,0.55775,0.84725,0.9401,1.03137,0.005809,0.005809,0.005809
129,39583.2,0.87783,0.99988,0.98432,0.63625,0.71679,0.72677,0.56106,0.84518,0.93478,1.03194,0.005776,0.005776,0.005776
130,39939.8,0.87891,0.99969,0.97615,0.61656,0.72717,0.71842,0.55606,0.84472,0.94608,1.03145,0.005743,0.005743,0.005743
131,40289.9,0.87315,0.9793,0.98316,0.61148,0.73982,0.71547,0.55167,0.84484,0.94421,1.03096,0.00571,0.00571,0.00571
132,40646.1,0.87333,0.98792,0.97787,0.61204,0.74505,0.72052,0.5557,0.84782,0.93465,1.03375,0.005677,0.005677,0.005677
133,40961.2,0.87365,0.99013,0.97536,0.60848,0.75229,0.71964,0.55656,0.84413,0.95195,1.02812,0.005644,0.005644,0.005644
134,41241.1,0.88081,0.97803,0.97839,0.61898,0.7305,0.72102,0.55747,0.84855,0.94749,1.03026,0.005611,0.005611,0.005611
135,41517.9,0.8715,0.98478,0.97354,0.60308,0.74697,0.71673,0.55349,0.84879,0.93533,1.03041,0.005578,0.005578,0.005578
136,41795.6,0.8635,0.99876,0.97791,0.60634,0.73845,0.71253,0.55041,0.84482,0.94686,1.02846,0.005545,0.005545,0.005545
137,42075.1,0.87088,0.96972,0.97886,0.6215,0.73204,0.71771,0.55377,0.84892,0.94284,1.02997,0.005512,0.005512,0.005512
138,42409.5,0.87222,0.98524,0.97456,0.61931,0.7275,0.71354,0.55127,0.8465,0.95101,1.02804,0.005479,0.005479,0.005479
139,42781.2,0.87818,0.98536,0.98393,0.63331,0.71582,0.71731,0.55348,0.84422,0.94446,1.0286,0.005446,0.005446,0.005446
140,43144,0.87593,0.95105,0.97751,0.62803,0.72332,0.71978,0.55466,0.84501,0.93908,1.03034,0.005413,0.005413,0.005413
141,43506.6,0.86889,0.98914,0.97465,0.6169,0.74312,0.71695,0.55255,0.84673,0.94282,1.03019,0.00538,0.00538,0.00538
142,43802.9,0.86844,0.97448,0.97732,0.64051,0.7049,0.71883,0.55549,0.84249,0.93908,1.0287,0.005347,0.005347,0.005347
143,44085.3,0.8723,0.98428,0.97692,0.62027,0.72607,0.72113,0.55654,0.84616,0.9411,1.03019,0.005314,0.005314,0.005314
144,44363.5,0.87445,0.97492,0.97578,0.63208,0.7137,0.71788,0.55362,0.8425,0.93881,1.02654,0.005281,0.005281,0.005281
145,44646.3,0.86997,0.96345,0.9737,0.62404,0.72827,0.71716,0.55389,0.8425,0.93779,1.02753,0.005248,0.005248,0.005248
146,44921.8,0.87321,0.97995,0.9811,0.62285,0.72355,0.71561,0.55229,0.84361,0.9432,1.02781,0.005215,0.005215,0.005215
147,45194.6,0.86472,0.97669,0.97823,0.61086,0.7434,0.71751,0.55452,0.84401,0.93941,1.02801,0.005182,0.005182,0.005182
148,45472.2,0.87196,0.9524,0.97743,0.61027,0.74367,0.7192,0.55667,0.84329,0.9375,1.02972,0.005149,0.005149,0.005149
149,45752.8,0.86626,0.96715,0.97017,0.61305,0.74293,0.72066,0.5563,0.84283,0.94208,1.02741,0.005116,0.005116,0.005116
150,46098.9,0.86994,0.95353,0.98227,0.62655,0.72905,0.72477,0.55829,0.84493,0.94564,1.02949,0.005083,0.005083,0.005083
151,46455.1,0.87142,0.94263,0.97618,0.64129,0.7192,0.72622,0.56127,0.84501,0.95524,1.02914,0.00505,0.00505,0.00505
152,46816.8,0.86498,0.94609,0.9779,0.63967,0.71205,0.72216,0.55878,0.84335,0.95247,1.02885,0.005017,0.005017,0.005017
153,47174.2,0.86646,0.94044,0.97528,0.62539,0.72775,0.72333,0.55952,0.84201,0.94144,1.02805,0.004984,0.004984,0.004984
154,47554.8,0.86636,0.9919,0.96933,0.62543,0.72195,0.72037,0.55641,0.8436,0.94455,1.02733,0.004951,0.004951,0.004951
155,47879.4,0.865,0.95766,0.97425,0.62478,0.72827,0.72174,0.55836,0.84347,0.93518,1.02554,0.004918,0.004918,0.004918
156,48153.8,0.8606,0.94781,0.97395,0.64153,0.71095,0.71836,0.55521,0.84275,0.94708,1.02621,0.004885,0.004885,0.004885
157,48430.1,0.85905,0.95256,0.97385,0.63168,0.72637,0.72121,0.55815,0.84194,0.94528,1.02584,0.004852,0.004852,0.004852
158,48707,0.86644,0.94526,0.97537,0.63726,0.71942,0.72425,0.55975,0.84206,0.93404,1.02675,0.004819,0.004819,0.004819
159,48984.9,0.87067,0.93401,0.97927,0.63349,0.72921,0.72573,0.56096,0.84486,0.93997,1.029,0.004786,0.004786,0.004786
160,49260.4,0.86872,0.96089,0.97836,0.64866,0.7068,0.72637,0.56082,0.84646,0.95001,1.02769,0.004753,0.004753,0.004753
161,49536.6,0.86294,0.92146,0.97544,0.6504,0.70627,0.72346,0.55897,0.84511,0.95089,1.02657,0.00472,0.00472,0.00472
162,49814,0.85672,0.92715,0.97743,0.62628,0.71947,0.71929,0.55536,0.8438,0.95025,1.02789,0.004687,0.004687,0.004687
163,50091.5,0.8551,0.95074,0.96997,0.63441,0.71865,0.72168,0.55728,0.84248,0.9472,1.02744,0.004654,0.004654,0.004654
164,50368.4,0.84779,0.92295,0.96823,0.62793,0.72607,0.72357,0.55849,0.84428,0.9548,1.02868,0.004621,0.004621,0.004621
165,50643.2,0.86165,0.93582,0.97532,0.6215,0.73655,0.72178,0.55859,0.84291,0.95582,1.02619,0.004588,0.004588,0.004588
166,50916.7,0.86335,0.91917,0.97281,0.63981,0.71975,0.72223,0.55881,0.84276,0.96086,1.02515,0.004555,0.004555,0.004555
167,51189.4,0.86123,0.93396,0.97174,0.63968,0.71782,0.72245,0.55853,0.84349,0.9556,1.02584,0.004522,0.004522,0.004522
168,51460.9,0.85994,0.95144,0.9708,0.62573,0.73891,0.72063,0.55717,0.84541,0.95594,1.02672,0.004489,0.004489,0.004489
169,51737.3,0.85841,0.9122,0.96908,0.63573,0.72717,0.72236,0.55913,0.84687,0.95728,1.02762,0.004456,0.004456,0.004456
170,52014,0.85153,0.90172,0.97247,0.63335,0.72112,0.72257,0.55928,0.84915,0.96417,1.03,0.004423,0.004423,0.004423
171,52290.8,0.85825,0.90571,0.97247,0.64453,0.70711,0.72433,0.56056,0.84889,0.96057,1.03017,0.00439,0.00439,0.00439
172,52566,0.86245,0.91387,0.97239,0.64629,0.70251,0.72273,0.55989,0.84943,0.97049,1.03019,0.004357,0.004357,0.004357
173,52839.3,0.86311,0.91728,0.97469,0.61772,0.73238,0.72032,0.55888,0.84833,0.96986,1.02953,0.004324,0.004324,0.004324
174,53113.2,0.85449,0.91943,0.97529,0.62735,0.71673,0.71699,0.55562,0.84907,0.97585,1.03055,0.004291,0.004291,0.004291
175,53386.5,0.85337,0.90618,0.97178,0.63987,0.69554,0.71587,0.55497,0.84827,0.97872,1.03027,0.004258,0.004258,0.004258
176,53660,0.86366,0.9133,0.97831,0.63327,0.706,0.71708,0.55514,0.84646,0.97101,1.02874,0.004225,0.004225,0.004225
177,53935.4,0.85656,0.8929,0.9678,0.62536,0.7148,0.71601,0.55428,0.847,0.97212,1.02867,0.004192,0.004192,0.004192
178,54210.8,0.84742,0.90292,0.96274,0.61649,0.72992,0.71765,0.55527,0.84651,0.97688,1.02728,0.004159,0.004159,0.004159
179,54485.8,0.85058,0.89818,0.96483,0.62613,0.7176,0.71822,0.5559,0.84737,0.97977,1.02846,0.004126,0.004126,0.004126
180,54760.7,0.85356,0.89632,0.97151,0.63516,0.71149,0.71789,0.55543,0.8459,0.98091,1.02769,0.004093,0.004093,0.004093
181,55036.3,0.84528,0.92302,0.96599,0.63359,0.72057,0.71864,0.55575,0.84709,0.98188,1.02844,0.00406,0.00406,0.00406
182,55311.9,0.84886,0.89841,0.9663,0.6303,0.72167,0.71742,0.55501,0.84585,0.98029,1.0279,0.004027,0.004027,0.004027
183,55587.3,0.84158,0.87831,0.96469,0.62436,0.72332,0.71589,0.55412,0.84735,0.98703,1.02923,0.003994,0.003994,0.003994
184,55863.8,0.84463,0.8754,0.96947,0.62231,0.72415,0.71568,0.55386,0.84786,0.98599,1.02971,0.003961,0.003961,0.003961
185,56140.6,0.84603,0.88943,0.96886,0.61832,0.7247,0.71604,0.55296,0.84797,0.98631,1.03012,0.003928,0.003928,0.003928
